Ward Code,primary_students,grammar_students,secondary_students,primary_schools,grammar_schools,secondary_schools,libraries
95JJ21,355,0,0,1,0,0,0
95JJ22,412,2297,212,1,2,1,1
95KK01,311,0,0,2,0,0,0
95KK02,135,0,0,2,0,0,0
95KK03,302,0,0,2,0,0,0
95KK05,239,0,0,1,0,0,0
95KK06,190,0,0,1,0,0,0
95KK07,156,0,0,2,0,0,0
95KK08,272,0,0,2,0,0,0
95KK09,530,0,787,2,0,1,0
95KK10,166,0,0,1,0,0,0
95KK12,207,0,0,2,0,0,0
95KK13,198,0,0,2,0,0,0
95KK14,220,0,0,3,0,0,0
95KK15,415,0,0,3,0,0,0
95KK16,585,0,1024,1,0,1,1
95LL01,252,1423,0,2,1,0,0
95LL02,267,0,0,1,0,0,1
95LL03,367,0,0,1,0,0,0
95LL04,639,0,181,2,0,1,0
95LL05,113,0,0,1,0,0,0
95LL06,0,0,613,0,0,1,0
95LL09,1125,0,0,2,0,0,1
95LL10,320,455,0,2,1,0,0
95LL11,225,0,0,1,0,0,0
95LL12,418,0,1164,1,0,1,0
95LL13,838,0,270,2,0,1,1
95LL15,0,788,0,0,1,0,0
95LL16,894,0,0,3,0,0,0
95LL17,378,0,1065,1,0,2,0
95LL18,0,0,615,0,0,1,0
95LL19,600,0,0,3,0,0,0
95LL20,185,0,0,1,0,0,0
95LL21,663,0,0,1,0,0,0
95LL22,130,0,0,1,0,0,0
95LL23,663,0,0,1,0,0,0
95LL24,363,0,0,3,0,0,0
95LL25,398,0,0,1,0,0,0
95LL26,817,0,0,2,0,0,0
95MM01,343,0,0,2,0,0,0
95MM03,165,0,0,1,0,0,0
95MM04,288,0,868,1,0,1,0
95MM05,350,854,0,2,1,0,0
95MM06,1417,1508,561,3,1,1,1
95MM08,394,0,0,1,0,0,0
95MM09,398,0,517,3,0,1,0
95MM10,203,0,0,1,0,0,1
95MM12,479,0,0,2,0,0,0
95MM13,811,1402,0,3,1,0,0
95MM14,1156,0,0,3,0,0,1
95MM15,608,0,0,2,0,0,0
95MM16,207,0,1395,1,0,2,1
95MM17,0,822,0,0,1,0,0
95MM18,268,0,0,3,0,0,0
95MM20,592,0,0,1,0,0,0
95MM21,170,0,0,1,0,0,0
95MM22,0,0,865,0,0,1,0
95MM23,756,0,0,2,0,0,0
95MM24,446,0,0,2,0,0,0
95MM25,135,0,0,1,0,0,0
95MM26,529,0,0,3,0,0,0
95MM27,135,0,0,1,0,0,0
95MM28,309,0,0,2,0,0,1
95MM29,200,0,0,1,0,0,0
95MM30,557,0,821,1,0,1,0
95NN01,258,0,0,3,0,0,0
95NN02,0,707,364,0,1,1,0
95NN03,594,836,0,3,1,0,0
95NN04,446,0,407,1,0,1,0
95NN05,0,0,604,0,0,2,1
95NN06,471,0,959,3,0,1,1
95NN07,414,0,0,2,0,0,1
95NN08,290,0,285,2,0,1,0
95NN09,149,0,0,2,0,0,0
95NN10,223,0,597,1,0,1,0
95NN11,489,0,0,3,0,0,0
95NN12,258,0,0,3,0,0,0
95NN13,270,0,0,2,0,0,0
95NN14,286,0,0,3,0,0,0
95NN15,195,0,0,2,0,0,1
95NN16,143,0,0,2,0,0,0
95NN17,185,0,0,1,0,0,0
95NN18,272,969,213,1,1,1,0
95NN19,378,0,370,1,0,1,1
95NN20,169,0,0,1,0,0,0
95NN21,467,0,0,2,0,0,1
95NN22,314,0,0,3,0,0,0
95NN23,202,0,0,2,0,0,0
95OO01,213,0,0,1,0,0,0
95OO02,155,0,0,3,0,0,0
95OO03,236,0,153,2,0,1,0
95OO04,414,0,803,3,0,1,0
95OO05,220,0,0,1,0,0,0
95OO07,308,0,0,4,0,0,0
95OO08,199,0,0,3,0,0,0
95OO09,196,0,0,3,0,0,0
95OO10,161,0,0,1,0,0,0
95OO11,189,0,0,1,0,0,1
95OO12,904,0,308,3,0,1,0
95OO13,0,0,539,0,0,1,0
95OO14,354,707,0,3,1,0,0
95OO16,216,0,396,2,0,1,1
95OO17,255,0,0,2,0,0,0
95OO18,1011,2018,623,2,2,1,1
95OO19,287,0,0,3,0,0,0
95OO20,301,0,0,1,0,0,0
95OO21,88,0,289,1,0,1,0
95OO22,556,0,0,4,0,0,0
95PP01,144,0,0,1,0,0,0
95PP02,241,0,89,3,0,1,0
95PP03,130,0,0,2,0,0,0
95PP04,198,0,0,2,0,0,0
95PP05,120,0,0,2,0,0,0
95PP06,437,0,336,1,0,1,0
95PP07,189,0,0,2,0,0,0
95PP08,221,0,178,2,0,1,0
95PP09,926,753,0,2,1,0,0
95PP10,91,0,0,1,0,0,0
95PP11,0,721,676,0,1,2,0
95PP12,269,0,0,3,0,0,0
95PP13,360,0,139,2,0,1,1
95PP14,393,0,0,3,0,0,0
95PP15,468,0,0,3,0,0,0
95PP17,418,0,490,2,0,1,1
95PP18,249,0,0,3,0,0,0
95PP19,239,0,0,2,0,0,0
95PP20,0,0,481,0,0,1,1
95PP21,265,0,56,3,0,1,0
95PP22,181,0,0,1,0,0,0
95PP23,211,0,0,2,0,0,0
95QQ01,90,739,0,1,1,0,0
95QQ02,72,0,0,1,0,0,0
95QQ03,348,0,0,1,0,0,0
95QQ04,140,0,0,1,0,0,0
95QQ05,125,0,0,1,0,0,0
95QQ06,180,0,836,2,0,1,1
95QQ07,400,0,0,2,0,0,0
95QQ10,72,0,0,2,0,0,0
95QQ11,192,0,0,2,0,0,0
95QQ12,182,0,0,1,0,0,0
95QQ14,41,0,0,1,0,0,0
95QQ15,353,0,499,1,0,1,0
95RR02,275,0,0,1,0,0,0
95RR03,653,891,0,2,1,0,0
95RR04,0,0,15,0,0,1,1
95RR05,424,0,0,1,0,0,0
95RR06,158,0,0,2,0,0,0
95RR07,88,0,0,1,0,0,0
95RR08,78,0,0,1,0,0,0
95RR09,199,0,0,1,0,0,0
95RR11,92,0,0,2,0,0,0
95RR12,361,0,0,2,0,0,0
95RR13,0,0,1328,0,0,2,1
95RR14,322,0,0,3,0,0,0
95RR15,374,0,258,2,0,1,0
95SS01,204,0,0,1,0,0,0
95SS02,1022,0,681,2,0,1,0
95SS03,270,0,0,2,0,0,0
95SS04,373,0,0,1,0,0,0
95SS06,386,0,0,1,0,0,0
95SS07,799,0,0,2,0,0,0
95SS08,303,0,0,2,0,0,0
95SS11,727,0,0,4,0,0,0
95SS12,973,0,0,2,0,0,0
95SS13,796,0,854,3,0,1,1
95SS14,168,0,0,1,0,0,0
95SS15,887,0,0,2,0,0,0
95SS16,852,0,0,2,0,0,1
95SS18,187,0,0,1,0,0,0
95SS21,214,0,0,1,0,0,0
95SS24,604,0,0,2,0,0,1
95SS25,690,0,948,3,0,2,0
95SS26,305,0,0,1,0,0,0
95SS27,404,0,0,2,0,0,0
95SS28,229,0,0,1,0,0,0
95SS29,127,0,446,1,0,1,0
95SS30,0,2156,0,0,2,0,0
95TT01,301,0,492,2,0,1,0
95TT02,358,0,0,3,0,0,0
95TT03,258,0,0,2,0,0,0
95TT04,387,0,431,2,0,1,1
95TT05,886,1780,0,3,2,0,1
95TT06,358,0,0,2,0,0,0
95TT07,113,0,0,1,0,0,0
95TT08,140,0,0,2,0,0,0
95TT09,354,0,0,3,0,0,0
95TT10,240,0,1310,1,0,1,1
95TT11,404,0,0,2,0,0,0
95TT12,130,0,0,3,0,0,0
95TT13,188,0,544,1,0,1,0
95TT14,0,0,935,0,0,1,0
95TT15,262,0,0,3,0,0,0
95TT16,176,0,309,1,0,1,0
95UU01,155,0,0,2,0,0,0
95UU03,494,0,411,3,0,1,0
95UU04,90,0,353,1,0,1,0
95UU05,113,0,0,1,0,0,0
95UU07,115,0,0,1,0,0,0
95UU09,243,0,0,2,0,0,0
95UU10,113,0,0,2,0,0,0
95UU11,53,0,0,1,0,0,0
95UU12,83,0,739,1,0,1,1
95VV01,179,0,0,2,0,0,0
95VV02,820,853,0,2,1,0,0
95VV03,381,0,0,2,0,0,1
95VV04,386,0,156,4,0,1,0
95VV05,406,0,0,1,0,0,0
95VV06,430,0,1599,3,0,1,0
95VV07,0,0,851,0,0,1,0
95VV08,756,0,0,4,0,0,0
95VV09,182,0,612,1,0,1,1
95VV10,278,0,0,1,0,0,0
95VV11,816,1756,0,3,2,0,0
95VV12,321,0,0,1,0,0,0
95VV15,0,897,348,0,1,1,0
95VV16,522,0,0,2,0,0,0
95VV17,633,0,0,4,0,0,0
95VV18,449,0,663,1,0,1,0
95VV19,209,588,0,1,1,0,1
95VV20,223,0,0,2,0,0,0
95VV21,433,0,0,2,0,0,0
95VV22,346,0,177,5,0,1,0
95VV23,399,0,0,3,0,0,0
95VV24,582,0,0,2,0,0,1
95VV25,289,0,0,1,0,0,0
95VV26,396,0,0,2,0,0,0
95VV27,87,0,570,1,0,1,0
95VV28,453,0,0,1,0,0,1
95VV29,323,0,0,4,0,0,0
95VV30,219,0,413,1,0,1,0
95WW02,551,1225,0,2,1,0,0
95WW03,495,0,1022,1,0,1,1
95WW05,390,0,790,2,0,1,0
95WW06,207,0,0,2,0,0,0
95WW07,178,0,0,1,0,0,0
95WW09,594,0,0,2,0,0,0
95WW10,400,0,0,1,0,0,1
95WW11,716,0,592,2,0,1,0
95WW12,305,0,0,1,0,0,0
95WW13,304,0,0,3,0,0,0
95WW14,64,0,0,1,0,0,0
95WW15,365,0,0,1,0,0,0
95WW16,700,0,0,2,0,0,1
95WW17,199,0,0,1,0,0,0
95WW19,0,0,613,0,0,1,0
95WW20,12,0,0,1,0,0,0
95WW21,377,0,0,2,0,0,0
95WW22,620,0,0,1,0,0,0
95WW23,421,917,0,1,1,0,0
95WW25,405,0,0,1,0,0,0
95XX01,406,0,0,1,0,0,0
95XX03,980,0,0,2,0,0,0
95XX05,602,1044,1483,1,1,1,1
95XX06,395,874,0,1,1,0,0
95XX08,708,0,0,2,0,0,0
95XX09,631,0,617,1,0,1,0
95XX10,508,0,0,2,0,0,0
95XX12,213,0,0,1,0,0,0
95XX13,209,0,0,1,0,0,0
95XX18,744,1077,580,2,1,1,1
95XX22,282,0,0,1,0,0,0
95XX24,586,0,0,1,0,0,0
95YY01,187,0,0,2,0,0,0
95YY03,248,0,0,3,0,0,0
95YY04,0,0,837,0,0,1,0
95YY05,337,1649,0,1,2,0,1
95YY06,354,0,177,4,0,1,0
95YY07,267,0,0,2,0,0,0
95YY08,162,0,0,2,0,0,0
95YY09,280,0,1047,1,0,2,0
95YY10,28,0,0,1,0,0,1
95YY11,292,0,0,2,0,0,1
95YY12,187,0,0,4,0,0,0
95YY13,384,0,0,1,0,0,0
95YY14,373,0,0,1,0,0,0
95YY15,479,0,0,2,0,0,0
95YY16,267,0,0,4,0,0,0
95YY17,153,0,0,2,0,0,0
95YY18,234,0,0,3,0,0,0
95YY19,396,880,0,1,1,0,0
95YY20,295,0,509,1,0,1,0
95YY21,177,0,0,3,0,0,0
95ZZ01,341,0,0,3,0,0,0
95ZZ02,133,0,0,1,0,0,0
95ZZ03,459,0,0,2,0,0,1
95ZZ04,109,0,421,1,0,1,0
95ZZ05,186,0,0,4,0,0,0
95ZZ06,0,591,0,0,1,0,0
95ZZ07,290,0,0,3,0,0,0
95ZZ08,86,0,0,1,0,0,0
95ZZ09,182,0,0,2,0,0,1
95ZZ10,661,0,0,2,0,0,1
95ZZ11,110,0,0,2,0,0,0
95ZZ12,217,0,0,1,0,0,0
95ZZ13,122,0,0,1,0,0,0
95ZZ14,622,0,1539,1,0,1,0
95ZZ15,148,0,0,2,0,0,0
