Ward Code,residents,work_from_home,train,bus,motorcycle,driving,passenger,carpool,taxi,bicycle,walking,other,public
95FF11,"1,740",273,6,266,2,825,180,121,15,4,27,21,272
95FF12,"1,789",187,17,209,3,834,268,151,14,5,88,13,226
95FF13,"1,796",243,17,214,3,818,244,134,15,3,89,16,231
95FF14,"1,647",218,9,164,2,769,321,118,5,2,23,16,173
95FF15,"1,598",169,7,139,6,691,244,125,12,3,184,18,146
95FF16,"1,486",122,7,87,3,724,261,121,14,3,137,7,94
95FF17,943,100,6,67,0,366,116,71,8,0,202,7,73
95GG01,"2,551",274,32,477,8,689,249,165,114,13,517,13,509
95GG02,"2,897",400,10,747,6,436,268,115,217,15,674,9,757
95GG03,"3,922",323,35,581,24,"1,574",337,298,39,86,604,21,616
95GG04,"2,488",256,25,585,6,466,179,93,82,39,747,10,610
95GG05,"4,190",408,30,550,15,"1,188",223,188,65,226,"1,279",18,580
95GG06,"3,407",262,19,622,30,"1,124",472,215,43,18,585,17,641
95GG07,"3,014",359,7,442,5,498,225,131,214,31,"1,092",10,449
95GG08,"2,905",274,16,562,24,998,425,182,60,15,338,11,578
95GG09,"3,820",297,59,537,24,"1,568",541,240,45,49,443,17,596
95GG10,"2,406",233,29,360,10,601,130,116,50,62,803,12,389
95GG11,"3,340",240,20,574,21,"1,114",356,214,47,84,648,22,589
95GG12,"7,049","1,186",116,870,15,"1,053",296,284,102,134,"2,978",15,971
95GG13,"2,769",228,11,503,7,"1,045",381,173,40,33,334,14,513
95GG14,"3,254",258,14,435,10,"1,364",575,258,17,27,287,9,449
95GG15,"3,624",306,12,443,22,"1,617",623,278,24,52,226,21,455
95GG16,"3,341",317,10,621,18,"1,047",368,190,65,42,647,16,629
95GG17,"3,102",332,14,609,12,816,441,194,81,17,569,17,623
95GG18,"2,554",296,8,454,6,409,173,103,189,25,883,8,462
95GG19,"1,985",241,11,420,3,415,227,85,76,20,478,9,431
95GG20,"2,536",232,25,533,14,633,245,99,83,31,625,16,556
95GG21,"2,376",338,21,315,4,296,150,59,190,21,976,6,336
95GG22,"2,966",281,13,503,6,856,340,155,158,27,617,10,516
95GG23,"2,911",217,42,489,3,"1,182",398,211,22,23,312,12,531
95GG24,"2,672",230,14,468,10,995,336,173,58,29,345,14,480
95GG25,"3,239",360,11,564,4,883,311,182,207,13,691,13,570
95GG26,"1,897",184,5,473,17,498,225,108,65,9,308,5,478
95GG27,"3,736",449,16,600,8,"1,012",476,189,287,18,660,21,616
95GG28,"3,365",342,4,646,17,"1,102",512,209,83,23,421,6,650
95GG29,"2,986",245,33,518,9,875,310,166,48,59,710,13,551
95GG30,"3,031",255,14,350,23,"1,267",433,220,28,53,367,21,364
95GG31,"3,923",377,47,812,14,"1,131",530,228,157,27,584,16,859
95GG32,"3,669",359,18,696,33,"1,113",587,258,80,17,494,14,714
95GG33,"3,859",383,60,520,5,"1,500",584,263,36,71,421,16,576
95GG34,"3,215",275,131,503,10,"1,200",380,211,33,54,402,16,634
95GG35,"2,274",289,21,462,8,383,169,82,98,24,730,8,483
95GG36,"3,658",256,12,469,24,"1,573",423,239,28,82,539,13,481
95GG37,"4,229",289,34,458,17,"1,636",357,291,46,198,892,11,492
95GG38,"4,484",375,19,496,16,"1,873",399,335,41,180,732,18,503
95GG39,"4,168",479,66,648,10,724,200,144,53,51,"1,771",22,713
95GG40,"1,714",206,15,331,10,347,183,76,60,17,465,4,346
95GG41,"3,478",382,30,323,13,"1,543",544,227,18,48,324,26,351
95GG42,"6,463",960,71,576,9,"1,728",508,344,33,144,"2,055",35,528
95GG43,"2,941",245,114,421,26,"1,056",291,184,43,49,498,14,535
95GG44,"3,159",300,36,657,25,758,236,154,81,68,824,20,693
95GG45,"2,803",260,16,515,15,"1,031",362,179,38,37,334,16,530
95GG46,"2,658",336,12,332,6,473,299,118,382,19,671,10,344
95GG47,"3,010",409,12,666,5,609,255,123,116,43,761,11,678
95GG48,"2,926",432,3,384,3,376,284,97,303,24,"1,003",17,387
95GG49,"6,526",776,123,674,11,"1,266",209,271,73,136,"2,963",24,784
95GG50,"3,173",279,44,512,22,842,242,163,56,124,879,10,556
95GG51,"1,837",194,7,467,10,459,230,70,33,14,345,8,474
95HH01,"1,137",80,154,80,20,456,109,91,4,7,121,15,234
95HH02,"2,160",146,157,80,13,968,422,157,13,6,181,17,237
95HH03,911,87,71,35,11,412,145,65,6,7,70,2,106
95HH04,"2,128",130,137,89,14,"1,032",350,181,17,9,156,13,226
95HH05,"1,326",99,118,65,8,414,228,83,36,22,250,3,183
95HH06,"3,570",254,203,144,32,"1,571",810,272,26,11,222,25,347
95HH07,847,51,90,91,10,320,88,56,11,6,120,4,181
95HH08,"1,698",118,111,109,16,816,235,137,20,7,122,7,220
95HH09,"1,331",117,136,80,11,518,134,84,15,9,215,12,216
95HH10,"1,712",123,163,68,12,792,195,111,13,10,213,12,231
95HH11,745,75,51,20,9,227,121,49,30,6,155,2,71
95HH12,946,70,49,43,8,379,133,85,15,3,155,6,92
95HH13,815,68,63,49,9,249,95,49,26,4,198,5,112
95HH14,771,55,70,33,8,263,109,61,19,5,146,2,103
95HH15,"1,734",109,127,77,4,723,248,126,30,11,266,13,203
95HH16,"1,321",133,195,106,11,518,136,79,3,3,123,14,301
95HH17,"1,739",142,111,109,14,799,334,124,13,4,77,12,220
95II01,"1,989",187,3,210,13,962,329,140,12,17,110,6,213
95II02,"3,127",244,10,399,11,"1,420",554,229,15,36,196,13,408
95II03,"2,630",180,7,426,8,"1,252",404,208,14,17,109,5,433
95II04,"2,952",224,2,402,18,"1,304",494,199,30,12,257,10,402
95II05,"2,338",173,5,436,6,"1,034",337,187,10,12,126,12,441
95II06,"2,379",180,3,437,7,"1,111",343,192,9,11,67,19,440
95II07,"1,141",92,5,164,3,368,144,76,22,26,238,3,169
95II08,"1,539",115,8,194,10,629,246,100,10,36,185,6,202
95II09,"2,271",158,7,317,17,"1,015",331,174,11,16,217,8,322
95II10,"1,531",111,3,306,10,565,216,89,14,14,197,6,309
95II11,"1,719",148,3,258,6,779,283,129,7,19,81,6,261
95II12,"1,586",110,8,181,8,735,257,121,8,18,129,11,189
95II13,"1,581",145,4,244,16,596,167,87,36,16,265,5,248
95II14,"1,614",120,6,171,4,778,265,120,5,16,122,7,177
95II15,"2,261",155,11,351,5,"1,086",370,153,14,18,89,9,362
95II16,"1,258",80,6,170,9,498,172,86,16,15,204,2,176
95II17,"1,495",130,2,200,6,679,228,94,6,11,134,5,202
95II18,"1,253",97,3,194,13,528,143,75,22,28,147,3,197
95II19,"2,621",289,2,365,9,"1,197",412,196,4,10,122,15,367
95II20,"1,791",150,10,277,11,809,227,114,18,33,129,13,286
95II21,"1,420",122,3,289,9,497,184,83,24,22,181,6,292
95II22,"1,358",94,1,220,8,594,187,99,14,14,110,17,221
95II23,"1,403",119,4,195,11,521,158,105,17,46,222,5,199
95JJ01,"1,660",263,20,221,1,774,186,119,19,3,43,11,241
95JJ02,"1,348",149,24,167,2,580,160,103,20,8,126,9,190
95JJ03,"1,448",155,18,145,7,447,228,100,38,13,291,6,163
95JJ04,"1,825",190,55,247,2,822,229,139,12,17,92,20,302
95JJ05,887,79,23,57,5,268,103,49,12,15,271,5,80
95JJ06,"1,357",128,14,93,9,414,202,102,28,20,340,7,107
95JJ07,"1,520",165,27,147,8,428,245,106,29,10,353,2,174
95JJ08,"2,210",388,29,247,6,895,355,183,17,7,70,13,248
95JJ09,"1,149",204,16,90,0,508,183,84,5,3,51,5,106
95JJ10,"1,699",232,10,281,1,682,228,119,14,5,116,11,291
95JJ11,"2,355",239,54,365,11,"1,013",345,123,19,19,147,20,417
95JJ12,"1,670",217,7,270,0,683,194,130,19,4,133,13,277
95JJ13,"2,705",243,40,221,11,"1,192",573,214,27,34,134,16,261
95JJ14,"1,474",246,10,188,4,634,206,92,15,2,60,17,198
95JJ15,"1,004",110,8,60,2,402,121,78,11,13,196,3,67
95JJ16,923,133,8,101,3,368,74,67,6,11,149,3,109
95JJ17,"1,585",239,6,323,1,658,171,113,8,5,46,15,329
95JJ18,"1,090",128,33,155,7,407,99,85,10,4,152,10,188
95JJ19,"1,979",313,58,261,2,798,219,174,30,18,96,10,319
95JJ20,"2,725",230,35,156,8,"1,192",622,223,22,20,206,11,191
95JJ21,"1,884",455,75,135,5,508,196,108,20,17,358,7,137
95JJ22,"1,779",168,18,76,3,734,282,162,4,10,313,9,93
95KK01,"1,496",239,4,245,0,619,202,101,9,2,60,15,249
95KK02,"1,245",171,4,123,0,591,191,84,6,3,53,19,127
95KK03,"1,491",256,0,351,0,579,121,132,6,4,28,14,351
95KK04,"1,757",200,4,181,3,647,294,121,16,8,276,7,185
95KK05,"1,655",259,5,311,1,687,188,130,6,4,50,14,316
95KK06,"1,107",118,0,87,2,425,185,109,14,7,155,5,87
95KK07,"1,369",220,3,210,1,591,191,96,1,2,34,20,213
95KK08,"1,646",191,2,188,1,746,270,142,8,4,83,11,190
95KK09,"1,278",152,4,69,1,491,202,86,13,18,238,4,73
95KK10,"1,492",236,2,268,1,648,165,109,11,2,34,16,270
95KK11,"1,406",127,2,91,1,564,274,108,6,9,214,10,93
95KK12,"1,454",201,4,298,0,648,130,95,8,2,62,6,302
95KK13,"1,142",217,4,156,3,472,154,91,8,2,23,12,158
95KK14,"1,298",196,3,227,1,527,167,87,12,2,63,13,230
95KK15,"1,955",300,1,334,3,841,216,179,9,0,52,20,335
95KK16,"1,327",162,4,122,1,511,191,110,8,10,203,5,126
95LL01,"3,405",375,111,361,8,"1,436",582,280,21,19,188,24,472
95LL02,"1,811",171,53,152,15,736,322,141,38,12,160,11,205
95LL03,"1,367",167,24,100,10,510,224,95,27,14,190,6,124
95LL04,"1,765",184,64,230,5,622,267,135,26,6,213,13,294
95LL05,"2,866",315,64,167,3,"1,357",614,219,34,8,71,14,231
95LL06,"1,957",173,43,141,3,835,351,170,36,12,180,13,184
95LL07,"1,049",90,22,77,6,360,144,73,30,14,228,5,99
95LL08,"1,970",216,66,290,6,560,312,136,50,15,312,7,356
95LL09,"1,544",208,56,154,5,409,214,102,44,26,321,5,205
95LL10,"3,851",367,139,461,13,"1,648",683,270,41,24,189,16,600
95LL11,"2,755",307,31,279,11,"1,391",418,160,12,6,122,18,310
95LL12,"2,445",286,64,169,8,767,406,169,82,18,467,9,233
95LL13,"1,594",172,35,122,12,544,259,115,41,40,247,7,157
95LL14,"1,417",151,72,137,5,410,179,95,29,18,312,9,209
95LL15,"1,750",158,37,87,10,736,304,130,22,17,232,17,124
95LL16,"4,143",388,111,201,20,"1,855",750,305,30,53,415,15,312
95LL17,"1,455",151,29,64,9,628,186,101,23,17,244,3,93
95LL18,"2,030",154,66,123,11,972,294,166,22,18,199,5,189
95LL19,"3,487",297,87,360,14,"1,640",602,271,15,18,162,21,447
95LL20,"1,386",131,36,96,5,513,238,98,29,21,211,8,132
95LL21,"2,354",210,79,171,20,928,385,172,28,25,329,7,250
95LL22,"2,290",239,71,177,7,767,405,183,49,38,338,16,248
95LL23,"1,156",99,21,76,9,400,151,85,21,14,269,11,97
95LL24,"2,565",369,52,312,7,"1,165",326,193,15,5,97,24,364
95LL25,"3,143",265,91,246,6,"1,640",454,229,22,13,160,17,337
95LL26,"2,358",251,152,199,6,787,326,174,44,30,375,14,351
95MM01,"2,919",299,5,439,6,"1,174",456,213,61,12,241,13,444
95MM02,"1,994",201,12,162,1,884,372,161,38,4,149,10,174
95MM03,"2,248",279,2,473,3,911,269,208,31,2,60,10,475
95MM04,"1,054",127,6,119,0,293,115,76,44,4,264,6,125
95MM05,"1,158",198,3,113,0,235,113,61,64,6,362,3,116
95MM06,"1,395",172,9,191,4,367,182,86,50,6,323,5,200
95MM07,"1,368",161,7,249,1,514,185,84,30,3,124,10,256
95MM08,"1,681",204,11,204,5,633,252,118,34,2,211,7,214
95MM09,"2,225",289,6,352,5,847,321,172,19,0,195,19,358
95MM10,"1,446",196,7,218,0,284,175,64,105,2,391,4,225
95MM11,"1,116",169,5,137,1,221,157,56,84,7,274,5,142
95MM12,"3,623",492,11,594,5,"1,032",656,218,178,13,418,6,605
95MM13,"5,698",599,34,773,11,"1,868","1,288",345,172,21,575,12,807
95MM14,"1,258",128,8,184,2,395,149,91,39,13,245,4,192
95MM15,"2,861",272,10,547,2,"1,220",373,226,22,27,142,20,557
95MM16,"3,711",398,14,542,7,"1,514",604,267,62,14,273,16,556
95MM17,"2,398",287,11,261,2,866,416,177,91,8,275,4,272
95MM18,"3,455",376,8,511,1,"1,380",599,262,45,13,244,16,518
95MM19,"1,929",158,9,206,11,851,290,156,58,6,176,8,215
95MM20,"1,806",165,4,198,7,670,307,129,38,11,266,11,202
95MM21,"2,159",186,12,337,3,915,310,169,43,7,167,10,349
95MM22,"1,361",120,11,136,2,526,206,108,32,15,197,8,147
95MM23,"1,306",174,9,131,4,320,102,78,63,3,414,8,140
95MM24,"1,219",205,1,198,2,279,160,62,39,6,265,2,199
95MM25,"3,834",523,13,572,3,980,709,241,154,15,608,16,584
95MM26,"1,903",224,13,257,1,637,276,134,71,10,278,2,270
95MM27,"2,167",372,33,229,5,426,158,111,73,14,740,6,175
95MM28,"1,109",116,8,169,0,239,106,56,58,6,349,2,176
95MM29,"1,921",210,6,253,9,579,277,126,64,7,380,10,258
95MM30,964,157,5,81,0,199,110,60,49,1,299,3,86
95NN01,"1,854",271,8,278,2,692,263,144,10,12,157,17,286
95NN02,"1,412",103,2,150,2,598,204,150,3,1,195,4,152
95NN03,"1,739",155,4,200,10,775,247,118,10,7,203,10,204
95NN04,"1,605",165,4,125,3,527,306,109,16,5,333,12,126
95NN05,"1,533",165,0,140,2,650,232,98,10,1,228,7,140
95NN06,"2,163",283,3,263,2,786,312,168,13,3,320,10,266
95NN07,"2,001",253,0,204,5,726,352,165,16,4,266,10,204
95NN08,"2,201",253,5,276,4,970,329,150,5,6,188,15,281
95NN09,"2,075",311,5,248,2,963,291,150,7,6,80,12,253
95NN10,"1,887",183,7,242,4,782,274,143,11,20,205,16,249
95NN11,"2,662",306,9,471,4,"1,148",397,224,21,2,61,19,480
95NN12,"1,772",227,1,316,6,718,245,152,15,8,72,12,317
95NN13,"2,039",249,4,287,1,963,298,129,9,3,85,11,291
95NN14,"2,285",298,5,391,6,821,283,155,10,26,257,33,391
95NN15,"1,785",172,7,299,2,737,247,125,7,6,179,4,306
95NN16,"2,238",274,5,322,3,"1,021",341,160,6,6,77,23,327
95NN17,"1,277",166,4,204,1,422,214,69,17,7,165,8,208
95NN18,"1,599",187,5,126,3,672,281,110,15,6,188,6,131
95NN19,"2,310",218,7,309,9,"1,100",320,149,4,5,170,19,316
95NN20,"1,983",274,7,314,9,885,271,151,11,3,41,17,320
95NN21,"1,502",145,4,222,1,580,223,119,5,11,182,10,226
95NN22,"1,716",257,4,241,3,730,237,140,4,5,68,27,245
95NN23,"2,154",273,7,310,3,924,314,159,30,5,120,9,315
95OO01,"1,625",315,1,313,0,624,188,122,17,1,24,20,314
95OO02,"1,513",249,6,236,0,666,164,123,6,1,45,17,242
95OO03,"1,710",256,1,293,1,748,173,101,13,4,107,13,294
95OO04,"1,590",298,4,266,0,634,179,87,13,1,89,19,270
95OO05,"1,593",219,3,222,1,513,297,93,79,2,156,8,225
95OO06,"1,947",319,3,255,0,875,275,108,12,4,81,15,258
95OO07,"1,710",281,3,309,1,762,151,114,5,3,65,16,312
95OO08,"1,779",249,2,247,2,794,272,119,20,3,54,17,249
95OO09,"1,454",259,2,219,0,615,169,105,12,3,48,22,221
95OO10,"2,037",276,7,303,2,773,359,152,15,10,121,19,310
95OO11,"1,374",177,3,228,1,480,247,104,13,5,111,5,231
95OO12,"1,752",214,6,194,2,698,340,149,20,5,117,7,200
95OO13,"1,855",265,3,76,3,743,349,107,50,5,237,17,79
95OO14,"1,711",271,1,166,3,714,320,123,11,6,85,11,167
95OO15,"1,373",200,1,149,2,442,279,83,36,5,169,7,150
95OO16,"1,286",189,4,110,0,532,172,85,8,3,168,15,114
95OO17,"1,791",209,7,255,5,874,235,120,9,9,53,15,262
95OO18,"1,849",217,7,97,3,752,341,129,35,7,251,10,104
95OO19,"2,030",268,7,296,3,842,319,162,32,2,83,16,303
95OO20,"1,360",160,2,100,5,585,307,102,16,6,63,14,102
95OO21,"1,437",151,6,176,1,491,295,91,40,6,169,11,182
95OO22,"2,044",341,8,364,3,835,239,170,9,2,45,28,372
95PP01,"1,739",197,2,227,3,799,269,116,9,17,88,12,229
95PP02,"1,563",278,3,298,2,664,133,100,6,3,61,15,301
95PP03,"1,549",221,2,320,1,640,137,106,9,6,95,12,322
95PP04,"2,104",293,0,350,3,982,290,116,8,5,40,17,348
95PP05,"1,543",283,2,233,0,662,180,112,3,2,52,14,235
95PP06,"2,530",267,2,159,4,"1,038",504,190,65,15,277,9,161
95PP07,"1,788",266,4,322,4,821,190,104,8,7,53,9,326
95PP08,"1,742",283,4,252,1,807,151,126,8,4,90,16,256
95PP09,820,100,0,57,1,251,103,31,24,6,240,7,57
95PP10,"1,513",230,6,269,1,634,185,127,4,2,39,16,275
95PP11,"1,542",169,5,89,3,577,293,94,43,13,244,12,94
95PP12,"1,717",260,3,349,4,735,169,137,4,4,41,11,352
95PP13,"1,495",194,3,172,0,615,199,106,13,6,182,5,175
95PP14,"2,285",320,6,413,1,985,243,163,16,6,109,23,419
95PP15,"2,228",289,4,321,6,983,366,156,10,2,72,19,324
95PP16,"1,194",176,3,158,0,528,149,120,9,2,38,11,161
95PP17,"1,406",185,2,146,9,508,211,119,26,3,189,8,148
95PP18,"2,141",331,2,334,4,968,239,153,15,5,74,16,336
95PP19,"1,456",225,2,299,4,564,155,99,12,5,79,12,301
95PP20,"1,927",219,5,154,4,801,320,140,54,15,205,10,159
95PP21,"1,341",225,5,220,2,583,121,92,6,2,74,11,225
95PP22,"1,487",168,0,117,0,667,266,122,34,13,92,8,117
95PP23,"1,672",275,2,288,2,697,195,127,9,3,57,17,285
95QQ01,749,67,25,72,3,261,110,56,6,4,143,2,97
95QQ02,"1,801",182,80,157,15,898,271,121,11,7,48,11,237
95QQ03,582,51,21,71,3,186,96,46,16,4,83,5,92
95QQ04,969,88,36,79,4,333,153,79,12,5,171,9,115
95QQ05,"1,878",146,54,183,6,882,310,157,10,2,116,12,237
95QQ06,"1,252",156,14,195,1,475,156,86,9,2,149,9,209
95QQ07,946,90,30,78,2,335,106,56,10,10,219,10,107
95QQ08,752,61,26,98,2,255,105,62,15,4,119,5,124
95QQ09,"1,000",69,13,73,1,398,159,93,4,2,177,11,86
95QQ10,"1,254",196,9,196,0,534,159,90,1,2,53,14,205
95QQ11,"1,358",152,31,130,3,664,208,77,10,0,69,14,161
95QQ12,"1,053",110,29,75,4,404,138,71,10,10,191,11,104
95QQ13,"1,698",183,91,208,14,775,218,121,14,5,56,13,299
95QQ14,"3,937",373,61,282,17,"1,864",757,340,22,12,178,31,343
95QQ15,905,78,29,40,2,318,103,64,6,8,249,8,69
95RR01,"2,997",318,10,204,1,"1,280",709,271,32,9,144,19,214
95RR02,"1,006",150,9,119,0,375,156,97,8,5,79,8,128
95RR03,686,80,3,40,1,209,98,43,17,6,187,2,43
95RR04,"1,130",141,6,172,2,400,184,86,8,7,116,8,178
95RR05,"1,428",127,2,69,1,547,290,131,31,11,208,11,71
95RR06,"1,342",182,4,252,0,523,220,94,6,2,52,7,256
95RR07,"1,565",179,1,128,0,667,328,159,20,8,61,14,129
95RR08,"1,335",178,1,228,2,582,192,94,5,5,28,20,229
95RR09,"2,325",241,3,358,6,"1,034",314,220,27,7,101,14,361
95RR10,590,85,1,26,2,148,80,48,7,8,178,7,27
95RR11,"1,157",193,18,166,0,479,149,91,2,5,39,15,174
95RR12,787,71,3,41,3,358,122,81,12,2,90,4,44
95RR13,645,69,1,50,1,229,89,57,6,5,137,1,51
